ticker,country,name,coupon,yield,maturitydate
US01MY,United States,United States 1 Month Government Bonds Yield,0.00%,5.319%,2024-07-23
US02MY,United States,United States 2 Month Government Bonds Yield,0.00%,5.369%,2024-08-20
US03MY,United States,United States 3 Month Government Bonds Yield,0.00%,5.378%,2024-09-19
US04MY,United States,United States 4 Month Government Bonds Yield,0.00%,5.383%,2024-10-22
US06MY,United States,United States 6 Month Government Bonds Yield,0.00%,5.350%,2024-12-19
US01Y,United States,United States 1 Year Government Bonds Yield,0.00%,5.095%,2025-06-12
US02Y,United States,United States 2 Year Government Bonds Yield,4.88%,4.702%,2026-05-31
US03Y,United States,United States 3 Year Government Bonds Yield,4.63%,4.431%,2027-06-15
US05Y,United States,United States 5 Year Government Bonds Yield,4.50%,4.235%,2029-05-31
US07Y,United States,United States 7 Year Government Bonds Yield,4.63%,4.223%,2031-05-31
US10Y,United States,United States 10 Year Government Bonds Yield,4.38%,4.230%,2034-05-15
US20Y,United States,United States 20 Year Government Bonds Yield,4.63%,4.478%,2044-05-15
US30Y,United States,United States 30 Year Government Bonds Yield,4.63%,4.372%,2054-05-15
CA01MY,Canada,Canada 1 Month Government Bonds Yield,0.00%,4.710%,2024-07-18
CA02MY,Canada,Canada 2 Month Government Bonds Yield,0.00%,4.670%,2024-08-01
CA03MY,Canada,Canada 3 Month Government Bonds Yield,0.00%,4.640%,2024-09-26
CA06MY,Canada,Canada 6 Month Government Bonds Yield,0.00%,4.570%,2024-12-18
CA01Y,Canada,Canada 1 Year Government Bonds Yield,0.00%,4.440%,2025-06-18
CA02Y,Canada,Canada 2 Year Government Bonds Yield,4.00%,3.875%,2026-05-01
CA03Y,Canada,Canada 3 Year Government Bonds Yield,1.00%,3.727%,2026-09-01
CA04Y,Canada,Canada 4 Year Government Bonds Yield,2.75%,3.472%,2027-09-01
CA05Y,Canada,Canada 5 Year Government Bonds Yield,4.00%,3.340%,2029-03-01
CA07Y,Canada,Canada 7 Year Government Bonds Yield,5.75%,3.264%,2029-06-01
CA10Y,Canada,Canada 10 Year Government Bonds Yield,3.00%,3.319%,2034-06-01
CA20Y,Canada,Canada 20 Year Government Bonds Yield,4.00%,3.339%,2041-06-01
CA30Y,Canada,Canada 30 Year Government Bonds Yield,2.75%,3.251%,2055-12-01
GB01MY,United Kingdom,United Kingdom 1 Month Government Bonds Yield,0.00%,5.311%,2024-07-15
GB03MY,United Kingdom,United Kingdom 3 Month Government Bonds Yield,0.00%,5.242%,2024-09-16
GB06MY,United Kingdom,United Kingdom 6 Month Government Bonds Yield,0.00%,5.185%,2024-12-16
GB01Y,United Kingdom,United Kingdom 1 Year Government Bonds Yield,0.63%,4.621%,2025-06-07
GB02Y,United Kingdom,United Kingdom 2 Year Government Bonds Yield,0.13%,4.159%,2026-01-30
GB03Y,United Kingdom,United Kingdom 3 Year Government Bonds Yield,1.25%,4.013%,2027-07-22
GB04Y,United Kingdom,United Kingdom 4 Year Government Bonds Yield,4.50%,4.067%,2028-06-07
GB05Y,United Kingdom,United Kingdom 5 Year Government Bonds Yield,0.50%,3.913%,2029-01-31
GB06Y,United Kingdom,United Kingdom 6 Year Government Bonds Yield,0.38%,3.860%,2030-10-22
GB07Y,United Kingdom,United Kingdom 7 Year Government Bonds Yield,0.25%,3.902%,2031-07-31
GB08Y,United Kingdom,United Kingdom 8 Year Government Bonds Yield,4.25%,3.922%,2032-06-07
GB09Y,United Kingdom,United Kingdom 9 Year Government Bonds Yield,3.25%,4.001%,2033-01-31
GB10Y,United Kingdom,United Kingdom 10 Year Government Bonds Yield,4.63%,4.052%,2034-01-31
GB12Y,United Kingdom,United Kingdom 12 Year Government Bonds Yield,4.25%,4.160%,2036-03-07
GB15Y,United Kingdom,United Kingdom 15 Year Government Bonds Yield,1.13%,4.338%,2039-01-31
GB20Y,United Kingdom,United Kingdom 20 Year Government Bonds Yield,3.25%,4.510%,2044-01-22
GB25Y,United Kingdom,United Kingdom 25 Year Government Bonds Yield,1.75%,4.524%,2049-01-22
GB30Y,United Kingdom,United Kingdom 30 Year Government Bonds Yield,4.38%,4.563%,2054-07-31
GB40Y,United Kingdom,United Kingdom 40 Year Government Bonds Yield,4.00%,4.496%,2063-10-22
GB50Y,United Kingdom,United Kingdom 50 Year Government Bonds Yield,1.13%,4.124%,2073-10-22
DE01MY,Germany,Germany 1 Month Government Bonds Yield,0.00%,3.306%,2024-07-17
DE03MY,Germany,Germany 3 Month Government Bonds Yield,0.00%,3.366%,2024-09-18
DE06MY,Germany,Germany 6 Month Government Bonds Yield,0.00%,3.354%,2024-12-11
DE09MY,Germany,Germany 9 Month Government Bonds Yield,0.00%,3.269%,2025-03-19
DE01Y,Germany,Germany 1 Year Government Bonds Yield,0.00%,3.196%,2025-05-14
DE02Y,Germany,Germany 2 Year Government Bonds Yield,2.90%,2.755%,2026-06-18
DE03Y,Germany,Germany 3 Year Government Bonds Yield,0.25%,2.540%,2027-02-15
DE04Y,Germany,Germany 4 Year Government Bonds Yield,0.50%,2.407%,2028-02-15
DE05Y,Germany,Germany 5 Year Government Bonds Yield,2.10%,2.376%,2029-04-12
DE06Y,Germany,Germany 6 Year Government Bonds Yield,0.00%,2.299%,2030-02-15
DE07Y,Germany,Germany 7 Year Government Bonds Yield,0.00%,2.277%,2031-02-15
DE08Y,Germany,Germany 8 Year Government Bonds Yield,0.00%,2.292%,2032-02-15
DE09Y,Germany,Germany 9 Year Government Bonds Yield,2.30%,2.333%,2033-02-15
DE10Y,Germany,Germany 10 Year Government Bonds Yield,2.20%,2.373%,2034-02-15
DE15Y,Germany,Germany 15 Year Government Bonds Yield,2.60%,2.596%,2041-05-15
DE20Y,Germany,Germany 20 Year Government Bonds Yield,2.50%,2.598%,2044-07-04
DE25Y,Germany,Germany 25 Year Government Bonds Yield,2.50%,2.589%,2046-08-15
DE30Y,Germany,Germany 30 Year Government Bonds Yield,1.80%,2.562%,2053-08-15
FR01MY,France,France 1 Month Government Bonds Yield,0.00%,3.719%,2024-07-24
FR03MY,France,France 3 Month Government Bonds Yield,0.00%,3.725%,2024-09-11
FR06MY,France,France 6 Month Government Bonds Yield,0.00%,3.624%,2024-12-11
FR09MY,France,France 9 Month Government Bonds Yield,0.00%,3.484%,2025-03-26
FR01Y,France,France 1 Year Government Bonds Yield,0.00%,3.428%,2025-05-21
FR02Y,France,France 2 Year Government Bonds Yield,0.50%,3.086%,2026-05-25
FR03Y,France,France 3 Year Government Bonds Yield,2.50%,2.976%,2027-09-24
FR04Y,France,France 4 Year Government Bonds Yield,0.75%,2.930%,2028-05-25
FR05Y,France,France 5 Year Government Bonds Yield,0.50%,2.911%,2029-05-25
FR06Y,France,France 6 Year Government Bonds Yield,2.75%,2.946%,2030-02-25
FR07Y,France,France 7 Year Government Bonds Yield,1.50%,2.952%,2031-05-25
FR08Y,France,France 8 Year Government Bonds Yield,0.00%,3.012%,2032-05-25
FR09Y,France,France 9 Year Government Bonds Yield,3.00%,3.092%,2033-05-25
FR10Y,France,France 10 Year Government Bonds Yield,1.25%,3.143%,2034-05-25
FR15Y,France,France 15 Year Government Bonds Yield,1.75%,3.367%,2039-06-25
FR20Y,France,France 20 Year Government Bonds Yield,0.50%,3.468%,2044-06-25
FR25Y,France,France 25 Year Government Bonds Yield,3.00%,3.528%,2049-06-25
FR30Y,France,France 30 Year Government Bonds Yield,3.25%,3.635%,2055-05-25
FR50Y,France,France 50 Year Government Bonds Yield,0.50%,3.040%,2072-05-25
ES01MY,Spain,Spain 1 Month Government Bonds Yield,0.00%,3.558%,2024-07-05
ES03MY,Spain,Spain 3 Month Government Bonds Yield,0.00%,3.525%,2024-09-06
ES06MY,Spain,Spain 6 Month Government Bonds Yield,0.00%,3.222%,2024-12-06
ES09MY,Spain,Spain 9 Month Government Bonds Yield,0.00%,3.436%,2025-03-07
ES01Y,Spain,Spain 1 Year Government Bonds Yield,0.00%,3.373%,2025-06-06
ES02Y,Spain,Spain 2 Year Government Bonds Yield,2.80%,3.102%,2026-05-31
ES03Y,Spain,Spain 3 Year Government Bonds Yield,2.50%,3.015%,2027-05-31
ES04Y,Spain,Spain 4 Year Government Bonds Yield,1.40%,2.921%,2028-04-30
ES05Y,Spain,Spain 5 Year Government Bonds Yield,3.50%,2.945%,2029-05-31
ES06Y,Spain,Spain 6 Year Government Bonds Yield,0.50%,2.949%,2030-04-30
ES07Y,Spain,Spain 7 Year Government Bonds Yield,0.10%,3.016%,2031-04-30
